"countrycode,country,year,gdppc,pop
AUS,Australia,1998,34.337,18.473
AUS,Australia,1999,35.551,18.683
AUS,Australia,2000,36.603,18.902
AUS,Australia,2001,37.276,19.144
AUS,Australia,2002,38.567,19.361
AUS,Australia,2003,39.524,19.580
AUS,Australia,2004,40.888,19.796
AUS,Australia,2005,41.904,20.059
AUS,Australia,2006,42.651,20.371
AUS,Australia,2007,44.034,20.754
AUS,Australia,2008,44.422,21.208
AUS,Australia,2009,44.687,21.593
AUS,Australia,2010,45.400,21.896
AUS,Australia,2011,46.132,22.241
AUS,Australia,2012,46.999,22.642
AUS,Australia,2013,47.250,23.008
AUS,Australia,2014,47.867,23.345
AUS,Australia,2015,48.357,23.686
AUS,Australia,2016,48.845,24.086
AUS,Australia,2017,49.266,24.466
AUS,Australia,2018,49.831,24.855
AUT,Austria,1,,500
AUT,Austria,1000,,700
AUT,Austria,1500,,2.000
AUT,Austria,1600,,2.500
AUT,Austria,1700,,2.500
AUT,Austria,1820,1.941,3.369
AUT,Austria,1821,,3.386
AUT,Austria,1822,,3.402
AUT,Austria,1823,,3.419
AUT,Austria,1824,,3.436
AUT,Austria,1825,,3.452
AUT,Austria,1826,,3.469
AUT,Austria,1827,,3.486
AUT,Austria,1828,,3.504
AUT,Austria,1829,,3.521
AUT,Austria,1830,2.230,3.538
AUT,Austria,1831,,3.555
AUT,Austria,1832,,3.573
AUT,Austria,1833,,3.590
AUT,Austria,1834,,3.608
AUT,Austria,1835,,3.626
AUT,Austria,1836,,3.614
AUT,Austria,1837,,3.662
AUT,Austria,1838,,3.680
AUT,Austria,1839,,3.698
AUT,Austria,1840,2.415,3.716
AUT,Austria,1841,,3.739
AUT,Austria,1842,,3.762
AUT,Austria,1843,,3.785
AUT,Austria,1844,,3.808
AUT,Austria,1845,,3.831
AUT,Austria,1846,,3.855
AUT,Austria,1847,,3.878
AUT,Austria,1848,,3.902
AUT,Austria,1849,,3.926
AUT,Austria,1850,2.630,3.950
AUT,Austria,1851,,3.978
AUT,Austria,1852,,4.006
AUT,Austria,1853,,4.035
AUT,Austria,1854,,4.063
AUT,Austria,1855,,4.092
AUT,Austria,1856,,4.120
AUT,Austria,1857,,4.150
AUT,Austria,1858,,4.178
AUT,Austria,1859,,4.206
AUT,Austria,1860,2.834,4.235
AUT,Austria,1861,,4.263
AUT,Austria,1862,,4.292
AUT,Austria,1863,,4.321
AUT,Austria,1864,,4.350
AUT,Austria,1865,,4.380
AUT,Austria,1866,,4.409
AUT,Austria,1867,,4.439
AUT,Austria,1868,,4.469
AUT,Austria,1869,,4.499
AUT,Austria,1870,2.970,4.520
AUT,Austria,1871,3.154,4.562
AUT,Austria,1872,3.150,4.604
AUT,Austria,1873,3.049,4.646
AUT,Austria,1874,3.158,4.688
AUT,Austria,1875,3.145,4.730
AUT,Austria,1876,3.188,4.772
AUT,Austria,1877,3.268,4.815
AUT,Austria,1878,3.347,4.857
AUT,Austria,1879,3.296,4.899
AUT,Austria,1880,3.314,4.941
AUT,Austria,1881,3.419,4.985
AUT,Austria,1882,3.411,5.030
AUT,Austria,1883,3.521,5.075
AUT,Austria,1884,3.583,5.121
AUT,Austria,1885,3.531,5.166
AUT,Austria,1886,3.615,5.212
AUT,Austria,1887,3.832,5.257
AUT,Austria,1888,3.792,5.303
AUT,Austria,1889,3.725,5.348
AUT,Austria,1890,3.894,5.394
AUT,Austria,1891,3.995,5.446
AUT,Austria,1892,4.041,5.504
AUT,Austria,1893,4.025,5.563
AUT,Austria,1894,4.216,5.622
AUT,Austria,1895,4.285,5.680
AUT,Austria,1896,4.305,5.739
AUT,Austria,1897,4.352,5.798
AUT,Austria,1898,4.551,5.856
AUT,Austria,1899,4.600,5.915
AUT,Austria,1900,4.594,5.973
AUT,Austria,1901,4.565,6.035
AUT,Austria,1902,4.694,6.099
AUT,Austria,1903,4.688,6.164
AUT,Austria,1904,4.712,6.228
AUT,Austria,1905,4.925,6.292
AUT,Austria,1906,5.062,6.357
AUT,Austria,1907,5.321,6.421
AUT,Austria,1908,5.292,6.485
AUT,Austria,1909,5.222,6.550
AUT,Austria,1910,5.244,6.614
AUT,Austria,1911,5.364,6.669
AUT,Austria,1912,5.587,6.724
AUT,Austria,1913,5.523,6.767
AUT,Austria,1914,4.584,6.806
AUT,Austria,1915,4.229,6.843
AUT,Austria,1916,4.189,6.825
AUT,Austria,1917,4.122,6.785
AUT,Austria,1918,4.073,6.727
AUT,Austria,1919,3.601,6.420
AUT,Austria,1920,3.845,6.455
AUT,Austria,1921,4.224,6.504
AUT,Austria,1922,4.586,6.528
AUT,Austria,1923,4.530,6.543
AUT,Austria,1924,5.042,6.562
AUT,Austria,1925,5.367,6.582
AUT,Austria,1926,5.440,6.603
AUT,Austria,1927,5.587,6.623
AUT,Austria,1928,5.829,6.643
AUT,Austria,1929,5.896,6.664
AUT,Austria,1930,5.716,6.684
AUT,Austria,1931,5.241,6.705
AUT,Austria,1932,4.686,6.725
AUT,Austria,1933,4.516,6.746
AUT,Austria,1934,4.546,6.760
AUT,Austria,1935,4.634,6.761
AUT,Austria,1936,4.774,6.758
AUT,Austria,1937,5.031,6.755
AUT,Austria,1938,5.673,6.753
AUT,Austria,1939,6.529,6.653
AUT,Austria,1940,6.311,6.705
AUT,Austria,1941,6.722,6.745
AUT,Austria,1942,6.349,6.783
AUT,Austria,1943,6.480,6.808
AUT,Austria,1944,6.618,6.834
AUT,Austria,1945,2.750,6.799
AUT,Austria,1946,3.118,7.000
AUT,Austria,1947,3.453,6.971
AUT,Austria,1948,4.406,6.956
AUT,Austria,1949,5.249,6.943
AUT,Austria,1950,5.907,6.935
AUT,Austria,1951,6.311,6.935
AUT,Austria,1952,6.323,6.928
AUT,Austria,1953,6.594,6.932
AUT,Austria,1954,7.261,6.940
AUT,Austria,1955,8.054,6.947
AUT,Austria,1956,8.603,6.952
AUT,Austria,1957,9.111,6.966
AUT,Austria,1958,9.416,6.987
AUT,Austria,1959,9.645,7.014
AUT,Austria,1960,10.391,7.047
AUT,Austria,1961,10.882,7.086
AUT,Austria,1962,11.078,7.130
AUT,Austria,1963,11.454,7.176
AUT,Austria,1964,12.062,7.224
AUT,Austria,1965,12.328,7.271
AUT,Austria,1966,12.930,7.322
AUT,Austria,1967,13.225,7.377
AUT,Austria,1968,13.742,7.415
AUT,Austria,1969,14.555,7.441
AUT,Austria,1970,15.537,7.467
AUT,Austria,1971,16.259,7.500
AUT,Austria,1972,17.169,7.544
AUT,Austria,1973,17.908,7.586
AUT,Austria,1974,18.583,7.599
AUT,Austria,1975,18.564,7.579
AUT,Austria,1976,19.448,7.566
AUT,Austria,1977,20.350,7.568
AUT,Austria,1978,20.293,7.562
AUT,Austria,1979,21.436,7.549
AUT,Austria,1980,21.932,7.549
AUT,Austria,1981,21.866,7.565
AUT,Austria,1982,22.254,7.575
AUT,Austria,1983,22.944,7.553
AUT,Austria,1984,23.016,7.554
AUT,Austria,1985,23.514,7.560
AUT,Austria,1986,24.039,7.568
AUT,Austria,1987,24.409,7.579
AUT,Austria,1988,25.112,7.600
AUT,Austria,1989,26.078,7.628
AUT,Austria,1990,26.930,7.723
AUT,Austria,1991,27.690,7.800
AUT,Austria,1992,28.072,7.887
AUT,Austria,1993,28.101,7.952
AUT,Austria,1994,28.781,7.983
AUT,Austria,1995,29.622,7.995
AUT,Austria,1996,30.413,8.006
AUT,Austria,1997,31.173,8.015
AUT,Austria,1998,32.376,8.024
AUT,Austria,1999,33.608,8.039
AUT,Austria,2000,34.796,8.059
AUT,Austria,2001,35.272,8.090
AUT,Austria,2002,35.824,8.129
AUT,Austria,2003,36.063,8.169
AUT,Austria,2004,36.957,8.220
AUT,Austria,2005,37.643,8.276
AUT,Austria,2006,38.867,8.317
AUT,Austria,2007,40.305,8.344
AUT,Austria,2008,40.965,8.370
AUT,Austria,2009,39.464,8.392
AUT,Austria,2010,40.288,8.413
AUT,Austria,2011,41.446,8.441
AUT,Austria,2012,41.565,8.480
AUT,Austria,2013,41.375,8.530
AUT,Austria,2014,41.338,8.597
AUT,Austria,2015,41.294,8.693
AUT,Austria,2016,41.445,8.788
AUT,Austria,2017,42.177,8.849
AUT,Austria,2018,42.988,8.892
AZE,Azerbaijan,1950,,2.885
AZE,Azerbaijan,1951,,2.983
AZE,Azerbaijan,1952,,3.091
AZE,Azerbaijan,1953,,3.159
AZE,Azerbaijan,1954,,3.223
AZE,Azerbaijan,1955,,3.314
AZE,Azerbaijan,1956,,3.417
AZE,Azerbaijan,1957,,3.526
AZE,Azerbaijan,1958,,3.631
AZE,Azerbaijan,1959,,3.741
AZE,Azerbaijan,1960,,3.882
AZE,Azerbaijan,1961,,4.034
AZE,Azerbaijan,1962,,4.157
AZE,Azerbaijan,1963,,4.283
AZE,Azerbaijan,1964,,4.430
AZE,Azerbaijan,1965,,4.567
AZE,Azerbaijan,1966,,4.702
AZE,Azerbaijan,1967,,4.827
AZE,Azerbaijan,1968,,4.945
AZE,Azerbaijan,1969,,5.059
AZE,Azerbaijan,1970,,5.169
AZE,Azerbaijan,1971,,5.284
AZE,Azerbaijan,1972,,5.394
AZE,Azerbaijan,1973,7.068,5.498
AZE,Azerbaijan,1974,,5.599
AZE,Azerbaijan,1975,,5.696
AZE,Azerbaijan,1976,,5.790
AZE,Azerbaijan,1977,,5.887
AZE,Azerbaijan,1978,,5.986
AZE,Azerbaijan,1979,,6.082
AZE,Azerbaijan,1980,7.165,6.173
AZE,Azerbaijan,1981,7.490,6.271
AZE,Azerbaijan,1982,7.831,6.369
AZE,Azerbaijan,1983,8.010,6.470
AZE,Azerbaijan,1984,8.360,6.579
AZE,Azerbaijan,1985,8.558,6.682
AZE,Azerbaijan,1986,8.663,6.776
AZE,Azerbaijan,1987,8.995,6.874
AZE,Azerbaijan,1988,9.328,6.976
AZE,Azerbaijan,1989,8.421,7.102
AZE,Azerbaijan,1990,7.394,7.200
AZE,Azerbaijan,1991,7.319,7.300
AZE,Azerbaijan,1992,5.639,7.412
AZE,Azerbaijan,1993,4.315,7.528
AZE,Azerbaijan,1994,3.453,7.637
AZE,Azerbaijan,1995,2.999,7.731
AZE,Azerbaijan,1996,3.074,7.815
AZE,Azerbaijan,1997,3.348,7.897
AZE,Azerbaijan,1998,3.550,7.979
AZE,Azerbaijan,1999,3.960,8.056
AZE,Azerbaijan,2000,4.215,8.127
AZE,Azerbaijan,2001,4.499,8.194
AZE,Azerbaijan,2002,4.880,8.257
AZE,Azerbaijan,2003,5.409,8.319
AZE,Azerbaijan,2004,5.971,8.391
AZE,Azerbaijan,2005,7.554,8.475
AZE,Azerbaijan,2006,10.160,8.565
AZE,Azerbaijan,2007,12.699,8.657
AZE,Azerbaijan,2008,14.073,8.750
AZE,Azerbaijan,2009,15.384,8.842
AZE,Azerbaijan,2010,16.154,8.933
AZE,Azerbaijan,2011,16.176,9.024
AZE,Azerbaijan,2012,16.359,9.117
AZE,Azerbaijan,2013,17.133,9.210
AZE,Azerbaijan,2014,17.439,9.302
AZE,Azerbaijan,2015,17.460,9.393
AZE,Azerbaijan,2016,16.645,9.481
AZE,Azerbaijan,2017,16.522,9.566
AZE,Azerbaijan,2018,16.628,9.648
BDI,Burundi,1950,595,2.363
BDI,Burundi,1951,618,2.404
BDI,Burundi,1952,626,2.446
BDI,Burundi,1953,641,2.488
BDI,Burundi,1954,665,2.532
BDI,Burundi,1955,674,2.576
BDI,Burundi,1956,687,2.621
BDI,Burundi,1957,701,2.668
BDI,Burundi,1958,708,2.714
BDI,Burundi,1959,736,2.764
BDI,Burundi,1960,733,2.815
BDI,Burundi,1961,615,2.894
BDI,Burundi,1962,657,2.962
BDI,Burundi,1963,673,3.008
BDI,Burundi,1964,695,3.089
BDI,Burundi,1965,703,3.171
BDI,Burundi,1966,716,3.254
BDI,Burundi,1967,764,3.331
BDI,Burundi,1968,740,3.401
BDI,Burundi,1969,717,3.460
BDI,Burundi,1970,893,3.522
BDI,Burundi,1971,902,3.597
BDI,Burundi,1972,866,3.530
BDI,Burundi,1973,921,3.540
BDI,Burundi,1974,904,3.595
BDI,Burundi,1975,883,3.676
BDI,Burundi,1976,956,3.749
BDI,Burundi,1977,1.020,3.834
BDI,Burundi,1978,1.042,3.930
BDI,Burundi,1979,1.011,4.120
BDI,Burundi,1980,952,4.288
BDI,Burundi,1981,1.014,4.454
BDI,Burundi,1982,985,4.551
BDI,Burundi,1983,991,4.659
BDI,Burundi,1984,968,4.757
BDI,Burundi,1985,1.057,4.849
BDI,Burundi,1986,1.078,4.931
BDI,Burundi,1987,1.095,5.040
BDI,Burundi,1988,1.119,5.156
BDI,Burundi,1989,1.111,5.263
BDI,Burundi,1990,1.124,5.375
BDI,Burundi,1991,1.150,5.493
BDI,Burundi,1992,1.128,5.652
BDI,Burundi,1993,1.076,5.433
BDI,Burundi,1994,1.058,5.446
BDI,Burundi,1995,934,5.812
BDI,Burundi,1996,825,5.815
BDI,Burundi,1997,800,5.820
BDI,Burundi,1998,808,5.955
BDI,Burundi,1999,772,6.128
BDI,Burundi,2000,740,6.282
BDI,Burundi,2001,730,6.466
BDI,Burundi,2002,737,6.670
BDI,Burundi,2003,704,6.897
BDI,Burundi,2004,710,7.167
BDI,Burundi,2005,692,7.439
BDI,Burundi,2006,703,7.709
BDI,Burundi,2007,701,7.991
BDI,Burundi,2008,709,8.318
BDI,Burundi,2009,709,8.741
BDI,Burundi,2010,718,9.140
BDI,Burundi,2011,719,9.440
BDI,Burundi,2012,727,9.748
BDI,Burundi,2013,738,10.069
BDI,Burundi,2014,748,10.380
BDI,Burundi,2015,694,10.577
BDI,Burundi,2016,665,10.721
BDI,Burundi,2017,671,10.955
BDI,Burundi,2018,65"
